n_param,density,seed,n_traversable,d_shortest,path_length,reactions,gradient_reactions,agent_moves,tagging_reactions,termination_reactions,final_time,reached,first_gradient_time,first_tagging_time,first_agent_move_time,reached_time
20,0.1,3,360,38,40,438,397,39,1,1,39.968747549797854,True,0.044718313135184096,1.4407426037318065,1.5770444217494393,39.968747549797854
20,0.1,4,356,38,38,430,391,37,1,1,34.275079587669836,True,0.044718313135184096,1.9383138822936212,2.0867316494628714,34.275079587669836
20,0.1,5,362,38,40,440,399,39,1,1,33.91381044416975,True,0.044718313135184096,1.6093435906724398,1.7109068117982025,33.91381044416975
20,0.1,6,357,38,38,431,392,37,1,1,33.714011288685235,True,0.044718313135184096,1.7106341295858196,2.4247182733801322,33.714011288685235
20,0.1,7,357,38,38,431,392,37,1,1,29.457694389283446,True,0.044718313135184096,1.58464703595371,2.287180834057855,29.457694389283446
20,0.1,8,367,38,42,448,405,41,1,1,36.73294776899711,True,0.044718313135184096,2.039313365292195,2.5980648152615293,36.73294776899711
20,0.1,9,347,38,42,429,386,41,1,1,30.076131761089417,True,0.044718313135184096,1.6121387892829488,2.1082865500487173,30.076131761089417
20,0.1,10,356,38,38,430,391,37,1,1,40.65555932104163,True,0.044718313135184096,1.8270977239312014,5.123405194321849,40.65555932104163
20,0.1,11,360,38,42,442,399,41,1,1,33.583504836441755,True,0.044718313135184096,1.741129350154029,2.1721636015527515,33.583504836441755
20,0.1,12,368,38,38,441,402,37,1,1,34.0529123399871,True,0.044718313135184096,1.770826217948712,2.302583207081171,34.0529123399871
20,0.1,13,361,38,38,434,395,37,1,1,35.43176861581146,True,0.044718313135184096,2.3854410056400788,2.602809916114146,35.43176861581146
20,0.1,14,366,38,44,452,407,43,1,1,44.02851233953089,True,0.044718313135184096,1.9749732177789268,2.0765364389046894,44.02851233953089
20,0.1,15,370,38,42,452,409,41,1,1,41.15864358899047,True,0.044718313135184096,1.8548178823674764,2.022876923934919,41.15864358899047
20,0.1,16,353,38,42,435,392,41,1,1,26.329299998726846,True,0.044718313135184096,1.6031819683771174,2.222000128337726,26.329299998726846
20,0.1,17,362,38,42,444,401,41,1,1,39.09854142116216,True,0.044718313135184096,1.6907221075665841,3.061232338417385,39.09854142116216
20,0.1,18,369,38,40,447,406,39,1,1,45.119337339305616,True,0.044718313135184096,2.4699184430540204,3.0016754321864796,45.119337339305616
20,0.1,19,358,38,42,440,397,41,1,1,43.60795318998179,True,0.044718313135184096,2.1641788529559793,2.1954593970533014,43.60795318998179
20,0.1,20,354,38,40,430,389,39,1,1,33.29164607411112,True,0.044718313135184096,2.1977809524182472,2.558035972014829,33.29164607411112
20,0.1,21,353,38,40,431,390,39,1,1,38.290588898105746,True,0.044718313135184096,2.7100181037171938,3.0702731233137754,38.290588898105746
20,0.1,22,358,38,40,436,395,39,1,1,42.63992739758543,True,0.044718313135184096,1.866675462545677,2.003202173920608,42.63992739758543
20,0.1,23,364,38,42,446,403,41,1,1,41.64950682419774,True,0.044718313135184096,2.086979358647464,2.6562676665926426,41.64950682419774
20,0.1,24,370,38,40,448,407,39,1,1,40.51648916046109,True,0.044718313135184096,1.9242303342741025,4.9392626456131445,40.51648916046109
20,0.1,25,357,38,38,430,391,37,1,1,35.90904984205917,True,0.044718313135184096,1.7217503674225463,1.8613569614983292,35.90904984205917
20,0.1,26,341,38,40,418,377,39,1,1,39.94924053629342,True,0.044718313135184096,1.9628179814234301,3.1195346319528605,39.94924053629342
20,0.1,27,364,38,40,441,400,39,1,1,41.28072818983272,True,0.044718313135184096,1.7985205482122606,4.116796842899162,41.28072818983272
20,0.1,28,358,38,42,438,395,41,1,1,36.914227017604716,True,0.044718313135184096,2.2958297525197287,2.4321315705373614,36.914227017604716
20,0.1,29,370,38,40,448,407,39,1,1,36.357329068586324,True,0.044718313135184096,1.8305661869229521,2.6476231200902176,36.357329068586324
20,0.2,0,327,38,44,413,368,43,1,1,42.82107619348785,True,0.044718313135184096,2.543326793766679,2.958193755323311,42.82107619348785
20,0.2,1,321,38,42,403,360,41,1,1,45.56865871532995,True,0.044718313135184096,2.9528473955375096,3.187632409184667,45.56865871532995
20,0.2,2,321,38,42,403,360,41,1,1,45.56865871532995,True,0.044718313135184096,2.9528473955375096,3.187632409184667,45.56865871532995
20,0.2,3,325,38,38,399,360,37,1,1,30.46761741882675,True,0.044718313135184096,1.5678082354459335,2.888426197772308,30.46761741882675
20,0.2,4,313,38,40,389,348,39,1,1,41.96336692575528,True,0.044718313135184096,2.996866390695331,3.3190225909986966,41.96336692575528
20,0.2,5,322,40,44,407,362,43,1,1,39.46091358559381,True,0.044718313135184096,3.771206557474816,4.117993647930674,39.46091358559381
20,0.2,6,309,42,52,410,357,51,1,1,52.58336389294577,True,0.044718313135184096,4.720108899524433,6.100804259541897,52.58336389294577
20,0.2,7,309,38,40,380,339,39,1,1,44.04024594187633,True,0.044718313135184096,2.35716875221733,2.794274848713071,44.04024594187633
20,0.2,8,327,38,42,408,365,41,1,1,38.1129523827268,True,0.044718313135184096,2.268657661293681,5.491019952237297,38.1129523827268
20,0.2,9,303,38,40,369,328,39,1,1,38.96631826166321,True,0.044718313135184096,1.9405619425891651,2.7066329725138702,38.96631826166321
20,0.2,10,314,38,42,395,352,41,1,1,42.40326308835724,True,0.044718313135184096,2.8666562072520394,3.5117051408504305,42.40326308835724
20,0.2,11,320,38,40,398,357,39,1,1,33.900858792474,True,0.044718313135184096,2.3493586660800534,2.849709919357049,33.900858792474
20,0.2,12,331,38,42,411,368,41,1,1,33.90605400438913,True,0.044718313135184096,1.5939167228386322,2.007641282220055,33.90605400438913
20,0.2,13,315,38,38,371,332,37,1,1,36.748020593356316,True,0.044718313135184096,2.371742144355115,3.4780097688894998,36.748020593356316
20,0.2,14,330,38,44,415,370,43,1,1,36.13438401916828,True,0.044718313135184096,3.645745709818027,4.824662349389022,36.13438401916828
20,0.2,15,330,38,44,415,370,43,1,1,36.13438401916828,True,0.044718313135184096,3.645745709818027,4.824662349389022,36.13438401916828
20,0.2,16,309,38,42,391,348,41,1,1,41.95833500276104,True,0.044718313135184096,3.1848322942769824,5.559414582708747,41.95833500276104
20,0.2,17,328,38,40,406,365,39,1,1,39.620270176064146,True,0.044718313135184096,2.2802038564032774,2.8437148846380214,39.620270176064146
20,0.2,18,318,38,38,390,351,37,1,1,39.34422920449947,True,0.044718313135184096,1.7555317092370264,3.8887828689173674,39.34422920449947
20,0.2,19,318,38,38,390,351,37,1,1,39.34422920449947,True,0.044718313135184096,1.7555317092370264,3.8887828689173674,39.34422920449947
20,0.2,20,309,38,46,398,351,45,1,1,52.2146876741546,True,0.044718313135184096,2.39406896084485,3.3643162564402456,52.2146876741546
